seed,type,??²_estimate,??²_start,??²_estimate,??²_start,iterations,LL,V_norm_finalstep,b??,b??,b??,b??,??,??,runtime,notes,
real data,Estimated,0,25,916.9567804,1000,4,-835,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:32:58,Estimated parameters after convergence of the iterative method
real data,Estimated,0,10,980.6886317,1000,4,-843,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 22:08:56,Estimated parameters after convergence of the iterative method
real data,Estimated,0,6,989.1884508,1000,4,-844,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:55:42,Estimated parameters after convergence of the iterative method
real data,Estimated,0,1,998.3121709,1000,4,-845,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:30:28,Estimated parameters after convergence of the iterative method
real data,Estimated,0,3,994.8165701,1000,4,-845,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:42:44,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.1,999.8326711,1000,4,-846,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:18:38,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.01,3.003784,3,3,-293,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:03:50,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.01,5.9931858,6,3,-304,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:04:35,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.01,9.9891262,10,3,-336,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:05:18,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.1,1.6331344,1,3,-342,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:11:30,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.1,24.8546828,25,3,-419,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:15:50,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.01,24.9855566,25,3,-420,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:06:02,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.01,1.0534904,1,3,-436,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:03:00,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.01,49.9843841,50,3,-494,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:06:47,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.1,49.8433288,50,3,-494,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:16:42,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.01,99.983801,100,3,-573,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:07:33,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.1,99.8377154,100,3,-573,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:17:34,Estimated parameters after convergence of the iterative method
real data,Estimated,0,0.01,999.9832777,1000,3,-846,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 21:08:19,Estimated parameters after convergence of the iterative method
real data,Estimated,56.1795274,50,42206.0335534,0.1,2,-1294,0,3.146,-0.454,3.78,3.479,0.265,0,,2022-12-15 23:35:31,Estimated parameters after convergence of the iterative method
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 19:00:01,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 20:01:17,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:02:09,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:03:01,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:03:50,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:04:35,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:05:18,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:06:02,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:06:47,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:07:33,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:08:19,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:09:22,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:10:35,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
real data,First-pass OLS Estimate,,,,,0,,,2.491,-1.109,3.125,2.823,0.326,-0.001,,2022-12-15 21:11:30,This is the first-pass OLS estimate of b?? and ? using real data (using GLS with the identity matrix).
