seed,type,N,T,b₀ᵢ,β,ρ,σₐ,σᵤ,iterations,LL,V_norm_finalstep,V_norm_true,V
7,Estimated,2,100,"[-3.796590668269415, 20.402607277765966]","[0.8995449851449834, 0.10113929085954224]",0.6334061152403371,0.8722591493630871,1.029107437718818,5,-155.48923537712153,0.0,258.19687948723225,
8,True,2,100,"[-4.055422868676964, -0.2961763897970211]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
8,Sample,2,100,,,,47.963375999049795,46.544425708468665,,,,,
8,Estimated,2,100,"[-2.765105273725557, 1.1402424636391761]","[0.9226791478031118, 0.10070083432259863]",0.8353576226024148,0.8988808539622682,1.0233875718335212,10,-162.2079573736416,0.0,67.7405325926124,
9,True,2,100,"[-2.627578050175094, 0.2635232095248958]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
9,Sample,2,100,,,,52.331709807737866,39.96046141572347,,,,,
9,Estimated,2,100,"[-2.2183330224786904, 0.7361486967628981]","[1.0060690240306005, 0.09990373343849948]",0.7832260424184477,0.9402725292592942,0.989907848073488,6,-157.91378187557137,0.0,158.0190651349711,
10,True,2,100,"[3.4105665015215996, -0.5408033548378681]","[1.0, 0.1]",0.85,1,1,,-Inf,,,
10,Sample,2,100,,,,42.09166416601569,36.495616189809816,,,,,
10,Estimated,2,100,"[2.5747948249500077, -1.5400797938626614]","[0.9900771072989252, 0.10049641332276954]",0.7423439448048927,0.788459345468325,0.9596062589553964,8,-142.90286240583902,0.0,221.81556997413784,
1,True,2,50,"[-0.7058313895389791, 5.314767537831963]","[1.0, 0.1]",0.85,0.1,1,,-Inf,,,
1,Sample,2,50,,,,0.24721910531824917,25.403635681799777,,,,,
1,Estimated,2,50,"[-1.6881290803223654, 4.338192997141064]","[1.0535917806595065, 0.09918863247329544]",0.6078590199763221,0.010000000000000002,1.0642727967374888,10,-61.527901763522706,2.1055385062141142e-10,81.71981139065643,
2,True,2,50,"[-0.05737244600260246, 17.35376213870901]","[1.0, 0.1]",0.85,0.1,1,,-Inf,,,
2,Sample,2,50,,,,0.22223710328204765,22.566871440213898,,,,,
2,Estimated,2,50,"[-0.8157748087823735, 16.327224713012313]","[1.1517654918088769, 0.09801592585634858]",0.7328560501052586,0.010000000000000002,0.9731970107019895,10,-55.96843069849922,0.00015990847970272066,66.99142311692553,
3,True,2,50,"[-6.637635515551271, 13.632084599735597]","[1.0, 0.1]",0.85,0.1,1,,-Inf,,,
3,Sample,2,50,,,,0.2121959799375719,22.6072949567704,,,,,
3,Estimated,2,50,"[-7.671465958793429, 12.700118179422518]","[1.1626237582758006, 0.09694569858461828]",0.5199255536607326,0.010000000000000002,0.9939807364942693,10,-52.845650763677824,9.45941140587971e-7,89.54576938993318,
4,True,2,50,"[17.07371258640649, 20.015123867881837]","[1.0, 0.1]",0.85,0.1,1,,-Inf,,,
4,Sample,2,50,,,,0.32637982444925184,21.856781672988525,,,,,
4,Estimated,2,50,"[17.546079056225587, 20.38782732159067]","[0.9588631364115121, 0.1007901468848455]",0.4607438518350672,0.3366869530516114,0.8997595837932798,5,-47.569741936108144,0.0,91.62019417348856,
5,True,2,50,"[0.17205046232868315, 12.623658511338068]","[1.0, 0.1]",0.85,0.1,1,,-Inf,,,
5,Sample,2,50,,,,0.17687567364307896,20.54236070230102,,,,,
5,Estimated,2,50,"[0.21765965257779368, 12.657755288386362]","[0.9062913017371726, 0.10181825017772975]",0.6984746561867419,0.010000000000000002,0.9321274717228949,10,-50.641150680853656,6.209923881510069e-5,76.04497765505694,
6,True,2,50,"[-19.757885774187898, -0.9383409762557428]","[1.0, 0.1]",0.85,0.1,1,,-Inf,,,
6,Sample,2,50,,,,0.21511282462645814,20.431766648817117,,,,,
6,Estimated,2,50,"[-18.76007900866872, 0.02720213553469364]","[0.9949989362586783, 0.09937839068559942]",0.34274751544957455,0.010000000000000002,0.9503955588964136,10,-45.96624417660604,1.0842974115094151e-7,95.1603499525995,
7,True,2,50,"[-4.367936713637636, 19.856224858441557]","[1.0, 0.1]",0.85,0.1,1,,-Inf,,,
7,Sample,2,50,,,,0.2571145342703887,20.11942165667994,,,,,
7,Estimated,2,50,"[-6.266979392216852, 17.8397390452119]","[1.1476042393899268, 0.09754580686204672]",0.7068901098360384,0.010000000000000002,0.9335113260581299,10,-51.03191243313133,4.774972842296094e-7,74.59791371787489,
8,True,2,50,"[-4.055422868676964, -0.2961763897970211]","[1.0, 0.1]",0.85,0.1,1,,-Inf,,,
